"Ethnicity","Geography","%","Number (thousands)"
"All","UK","90.8","48,098"
"All","North East","87.7","1,871"
"All","North West","90.0","5,198"
"All","Yorkshire and the Humber","89.8","3,908"
"All","East Midlands","89.9","3,439"
"All","West Midlands","88.7","4,125"
"All","East of England","92.0","4,552"
"All","London","93.0","6,571"
"All","South East","93.0","6,755"
"All","South West","92.3","4,165"
"All","Wales","89.6","2,264"
"All","Scotland","89.6","3,979"
"All","Northern Ireland","86.7","1,271"
"Asian","UK","92.4","3,083"
"Asian","North East","?","?"
"Asian","North West","89.9","295"
"Asian","Yorkshire and the Humber","89.0","225"
"Asian","East Midlands","88.3","215"
"Asian","West Midlands","86.8","424"
"Asian","East of England","95.1","186"
"Asian","London","94.7","1,118"
"Asian","South East","97.4","373"
"Asian","South West","?","?"
"Asian","Wales","?","?"
"Asian","Scotland","?","?"
"Asian","Northern Ireland","?","?"
"Black","UK","92.8","1,376"
"Black","North East","?","?"
"Black","North West","97.6","92"
"Black","Yorkshire and the Humber","?","?"
"Black","East Midlands","?","?"
"Black","West Midlands","96.1","170"
"Black","East of England","100.0","80"
"Black","London","88.9","701"
"Black","South East","99.2","124"
"Black","South West","?","?"
"Black","Wales","?","?"
"Black","Scotland","?","?"
"Black","Northern Ireland","?","?"
"White","UK","90.5","42,296"
"White","North East","87.7","1,789"
"White","North West","89.8","4,694"
"White","Yorkshire and the Humber","89.6","3,542"
"White","East Midlands","89.9","3,092"
"White","West Midlands","88.4","3,419"
"White","East of England","91.6","4,204"
"White","London","93.3","4,195"
"White","South East","92.4","6,112"
"White","South West","92.0","4,014"
"White","Wales","89.5","2,171"
"White","Scotland","89.2","3,825"
"White","Northern Ireland","86.5","1,239"
"Other inc Mixed","UK","95.1","1,343"
"Other inc Mixed","North East","?","?"
"Other inc Mixed","North West","94.6","117"
"Other inc Mixed","Yorkshire and the Humber","97.8","94"
"Other inc Mixed","East Midlands","?","?"
"Other inc Mixed","West Midlands","94.5","112"
"Other inc Mixed","East of England","98.8","82"
"Other inc Mixed","London","93.3","557"
"Other inc Mixed","South East","99.5","146"
"Other inc Mixed","South West","?","?"
"Other inc Mixed","Wales","?","?"
"Other inc Mixed","Scotland","?","?"
"Other inc Mixed","Northern Ireland","?","?"
