"Ethnicity","Academic year","%","Number"
"All","2006/07","5.65","425,554"
"All","2007/08","5.13","383,831"
"All","2008/09","4.88","363,277"
"All","2009/10","4.44","331,380"
"All","2010/11","4.33","324,106"
"All","2011/12","4.03","304,372"
"All","2012/13","3.51","267,520"
"All","2013/14","3.50","269,475"
"All","2014/15","3.88","302,975"
"All","2015/16","4.29","339,362"
"All","2016/17","4.76","381,864"
"All","2017/18","5.08","410,753"
"Asian","2006/07","3.07","15,817"
"Asian","2007/08","2.78","14,950"
"Asian","2008/09","2.65","14,751"
"Asian","2009/10","2.44","14,112"
"Asian","2010/11","2.21","13,253"
"Asian","2011/12","2.05","12,885"
"Asian","2012/13","1.82","11,845"
"Asian","2013/14","1.68","11,347"
"Asian","2014/15","1.85","12,988"
"Asian","2015/16","1.91","13,906"
"Asian","2016/17","1.80","15,680"
"Asian","2017/18","1.76","15,747"
"Black","2006/07","8.98","25,494"
"Black","2007/08","8.00","23,478"
"Black","2008/09","7.72","23,361"
"Black","2009/10","7.28","22,820"
"Black","2010/11","6.98","22,775"
"Black","2011/12","6.00","20,316"
"Black","2012/13","5.06","17,802"
"Black","2013/14","4.77","17,389"
"Black","2014/15","5.42","20,446"
"Black","2015/16","5.89","22,899"
"Black","2016/17","5.65","25,557"
"Black","2017/18","5.56","25,538"
"Chinese","2006/07","0.83","205"
"Chinese","2007/08","0.95","236"
"Chinese","2008/09","0.83","206"
"Chinese","2009/10","0.73","181"
"Chinese","2010/11","0.62","155"
"Chinese","2011/12","0.45","115"
"Chinese","2012/13","0.41","106"
"Chinese","2013/14","0.41","109"
"Chinese","2014/15","0.47","131"
"Chinese","2015/16","0.56","161"
"Chinese","2016/17","0.56","197"
"Chinese","2017/18","0.50","181"
"Mixed","2006/07","9.02","19,725"
"Mixed","2007/08","7.75","17,837"
"Mixed","2008/09","7.37","17,925"
"Mixed","2009/10","6.85","17,684"
"Mixed","2010/11","6.55","17,891"
"Mixed","2011/12","5.94","17,139"
"Mixed","2012/13","5.13","15,629"
"Mixed","2013/14","5.02","16,226"
"Mixed","2014/15","5.49","18,835"
"Mixed","2015/16","5.98","21,664"
"Mixed","2016/17","5.73","25,678"
"Mixed","2017/18","5.89","27,583"
"White","2006/07","6.32","347,846"
"White","2007/08","5.83","314,783"
"White","2008/09","5.57","296,002"
"White","2009/10","5.07","267,282"
"White","2010/11","4.94","258,314"
"White","2011/12","4.72","245,106"
"White","2012/13","4.14","214,482"
"White","2013/14","4.16","216,185"
"White","2014/15","4.61","240,762"
"White","2015/16","5.14","269,533"
"White","2016/17","5.08","303,724"
"White","2017/18","5.50","329,354"
"Other","2006/07","3.97","2,933"
"Other","2007/08","3.79","2,977"
"Other","2008/09","3.61","2,990"
"Other","2009/10","3.27","2,853"
"Other","2010/11","3.24","2,973"
"Other","2011/12","3.08","2,983"
"Other","2012/13","2.76","2,770"
"Other","2013/14","2.56","2,712"
"Other","2014/15","2.96","3,324"
"Other","2015/16","3.05","3,645"
"Other","2016/17","3.11","4,570"
"Other","2017/18","3.16","4,840"
