"Age","Ethnicity","%","Number of people employed"
"16-24","All","52","3,394,600"
"16-24","Asian","37","217,400"
"16-24","Indian","37","57,600"
"16-24","Pakistani, Bangladeshi","37","102,400"
"16-24","Asian Other","37","57,400"
"16-24","Black","31","89,000"
"16-24","Mixed","36","89,000"
"16-24","White","55","2,959,900"
"16-24","White British","56","2,826,700"
"16-24","White Other","44","133,200"
"16-24","Other","34","36,600"
"25-49","All","85","17,699,200"
"25-49","Asian","77","1,564,800"
"25-49","Indian","86","710,900"
"25-49","Pakistani, Bangladeshi","66","453,400"
"25-49","Asian Other","77","400,600"
"25-49","Black","78","607,400"
"25-49","Mixed","81","289,500"
"25-49","White","86","14,863,200"
"25-49","White British","86","12,941,100"
"25-49","White Other","88","1,922,100"
"25-49","Other","74","363,300"
"50-64","All","71","8,930,200"
"50-64","Asian","71","387,800"
"50-64","Indian","77","174,700"
"50-64","Pakistani, Bangladeshi","58","90,000"
"50-64","Asian Other","74","123,100"
"50-64","Black","74","273,300"
"50-64","Mixed","71","67,900"
"50-64","White","71","8,097,100"
"50-64","White British","70","7,662,800"
"50-64","White Other","77","434,300"
"50-64","Other","66","95,700"
"All","All","75","30,024,000"
"All","Asian","69","2,170,000"
"All","Indian","78","943,100"
"All","Pakistani, Bangladeshi","58","645,800"
"All","Asian Other","69","581,100"
"All","Black","67","969,700"
"All","Mixed","64","446,400"
"All","White","76","25,920,200"
"All","White British","76","23,430,600"
"All","White Other","82","2,489,600"
"All","Other","67","495,700"
