"","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Ethnicity","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%"
"All","94","95","94","94","95","94","94","94","94","94","94","94","94","94","95","95","95","94"
"Asian","91","91","91","92","92","92","91","-","91","91","92","92","93","92","93","94","93","93"
"Indian","92","91","90","93","93","92","91","-","92","91","92","93","94","93","94","95","94","92"
"Pakistani and Bangladeshi","91","92","92","91","91","93","90","-","89","92","91","91","92","92","93","93","93","91"
"Asian Other","92","89","91","92","91","89","90","-","91","91","91","92","92","92","91","93","93","95"
"Black","92","90","92","92","92","94","91","-","90","91","89","89","90","88","89","91","91","89"
"Mixed","91","93","93","90","91","90","91","-","89","87","90","90","91","91","92","92","91","91"
"White","94","95","95","95","95","95","94","-","94","94","94","94","94","95","95","95","95","95"
"White British","95","95","95","95","95","95","95","-","94","94","94","95","95","95","95","95","95","95"
"White Other","90","91","91","92","92","92","92","-","91","91","92","91","91","92","92","93","94","94"
"Other","87","89","89","88","89","88","93","-","90","92","91","91","90","91","91","91","92","91"
