"","Permanent","","Temporary",""
"Ethnicity","%","Number","%","Number"
"Asian","93","1,741,200","7","139,300"
"Indian","92","776,000","8","63,200"
"Pakistani and Bangladeshi","91","490,100","9","49,200"
"Asian Other","95","475,200","5","27,000"
"Black","89","774,800","11","96,600"
"Mixed","91","356,500","9","35,300"
"White","95","21,471,200","5","1,132,300"
"White British","95","19,500,200","5","1,003,700"
"White Other","94","1,971,100","6","128,500"
"Other","91","381,600","8","34,100"
"All","94","24,742,800","6","1,438,900"
