"Ethnicity","Highest Qualification Held",""
"All","All","19"
"All","Level 4 And Above","11"
"All","Level 3","15"
"All","Level 2","24"
"All","Below Level 2","27"
"All","Other Qualifications","22"
"All","No Qualifications","51"
"Asian","All","21"
"Asian","Level 4 And Above","12"
"Asian","Level 3","19"
"Asian","Level 2","37"
"Asian","Below Level 2","30"
"Asian","Other Qualifications","27"
"Asian","No Qualifications","51"
"Black","All","21"
"Black","Level 4 And Above","12"
"Black","Level 3","17"
"Black","Level 2","31"
"Black","Below Level 2","29"
"Black","Other Qualifications","27"
"Black","No Qualifications","53"
"Mixed","All","22"
"Mixed","Level 4 And Above","9"
"Mixed","Level 3","12"
"Mixed","Level 2","42"
"Mixed","Below Level 2","39"
"Mixed","Other Qualifications","?"
"Mixed","No Qualifications","?"
"White","All","18"
"White","Level 4 And Above","11"
"White","Level 3","15"
"White","Level 2","23"
"White","Below Level 2","26"
"White","Other Qualifications","20"
"White","No Qualifications","51"
"Other","All","22"
"Other","Level 4 And Above","15"
"Other","Level 3","20"
"Other","Level 2","38"
"Other","Below Level 2","?"
"Other","Other Qualifications","27"
"Other","No Qualifications","47"
