"Time","Ethnicity","%"
"2004","All","24"
"2004","Asian","37"
"2004","Indian","27"
"2004","Pakistani, Bangladeshi","49"
"2004","Asian Other","36"
"2004","Black","31"
"2004","Mixed","29"
"2004","White","23"
"2004","White British","22"
"2004","White Other","25"
"2004","Other","38"
"2005","All","24"
"2005","Asian","37"
"2005","Indian","26"
"2005","Pakistani, Bangladeshi","49"
"2005","Asian Other","36"
"2005","Black","30"
"2005","Mixed","30"
"2005","White","22"
"2005","White British","22"
"2005","White Other","23"
"2005","Other","36"
"2006","All","23"
"2006","Asian","36"
"2006","Indian","25"
"2006","Pakistani, Bangladeshi","48"
"2006","Asian Other","34"
"2006","Black","28"
"2006","Mixed","27"
"2006","White","22"
"2006","White British","22"
"2006","White Other","21"
"2006","Other","36"
"2007","All","23"
"2007","Asian","36"
"2007","Indian","26"
"2007","Pakistani, Bangladeshi","48"
"2007","Asian Other","33"
"2007","Black","28"
"2007","Mixed","28"
"2007","White","22"
"2007","White British","22"
"2007","White Other","21"
"2007","Other","36"
"2008","All","23"
"2008","Asian","35"
"2008","Indian","26"
"2008","Pakistani, Bangladeshi","46"
"2008","Asian Other","31"
"2008","Black","28"
"2008","Mixed","31"
"2008","White","22"
"2008","White British","22"
"2008","White Other","21"
"2008","Other","35"
"2009","All","23"
"2009","Asian","34"
"2009","Indian","25"
"2009","Pakistani, Bangladeshi","44"
"2009","Asian Other","32"
"2009","Black","29"
"2009","Mixed","30"
"2009","White","22"
"2009","White British","22"
"2009","White Other","21"
"2009","Other","36"
"2010","All","24"
"2010","Asian","34"
"2010","Indian","24"
"2010","Pakistani, Bangladeshi","44"
"2010","Asian Other","36"
"2010","Black","28"
"2010","Mixed","28"
"2010","White","23"
"2010","White British","23"
"2010","White Other","21"
"2010","Other","35"
"2011","All","24"
"2011","Asian",""
"2011","Indian",""
"2011","Pakistani, Bangladeshi",""
"2011","Asian Other",""
"2011","Black",""
"2011","Mixed",""
"2011","White",""
"2011","White British",""
"2011","White Other",""
"2011","Other",""
"2012","All","23"
"2012","Asian","33"
"2012","Indian","23"
"2012","Pakistani, Bangladeshi","42"
"2012","Asian Other","34"
"2012","Black","27"
"2012","Mixed","29"
"2012","White","22"
"2012","White British","22"
"2012","White Other","20"
"2012","Other","35"
"2013","All","23"
"2013","Asian","33"
"2013","Indian","24"
"2013","Pakistani, Bangladeshi","41"
"2013","Asian Other","36"
"2013","Black","26"
"2013","Mixed","26"
"2013","White","22"
"2013","White British","22"
"2013","White Other","19"
"2013","Other","35"
"2014","All","23"
"2014","Asian","32"
"2014","Indian","24"
"2014","Pakistani, Bangladeshi","40"
"2014","Asian Other","33"
"2014","Black","27"
"2014","Mixed","28"
"2014","White","21"
"2014","White British","22"
"2014","White Other","19"
"2014","Other","37"
"2015","All","22"
"2015","Asian","32"
"2015","Indian","24"
"2015","Pakistani, Bangladeshi","40"
"2015","Asian Other","32"
"2015","Black","26"
"2015","Mixed","28"
"2015","White","21"
"2015","White British","21"
"2015","White Other","17"
"2015","Other","35"
"2016","All","22"
"2016","Asian","32"
"2016","Indian","23"
"2016","Pakistani, Bangladeshi","39"
"2016","Asian Other","34"
"2016","Black","25"
"2016","Mixed","28"
"2016","White","21"
"2016","White British","21"
"2016","White Other","17"
"2016","Other","34"
"2017","All","22"
"2017","Asian","31"
"2017","Indian","22"
"2017","Pakistani, Bangladeshi","39"
"2017","Asian Other","32"
"2017","Black","26"
"2017","Mixed","27"
"2017","White","20"
"2017","White British","21"
"2017","White Other","16"
"2017","Other","33"
"2018","All","22"
"2018","Asian","30"
"2018","Indian","21"
"2018","Pakistani, Bangladeshi","38"
"2018","Asian Other","32"
"2018","Black","27"
"2018","Mixed","28"
"2018","White","20"
"2018","White British","21"
"2018","White Other","15"
"2018","Other","34"
"2019","All","21"
"2019","Asian","31"
"2019","Indian","21"
"2019","Pakistani, Bangladeshi","39"
"2019","Asian Other","31"
"2019","Black","25"
"2019","Mixed","26"
"2019","White","20"
"2019","White British","20"
"2019","White Other","14"
"2019","Other","32"
"2020","All","21"
"2020","Asian","27"
"2020","Indian","19"
"2020","Pakistani, Bangladeshi","37"
"2020","Asian Other","26"
"2020","Black","25"
"2020","Mixed","25"
"2020","White","20"
"2020","White British","21"
"2020","White Other","14"
"2020","Other","30"
"2021","All","22"
"2021","Asian","26"
"2021","Indian","19"
"2021","Pakistani, Bangladeshi","35"
"2021","Asian Other","26"
"2021","Black","26"
"2021","Mixed","29"
"2021","White","21"
"2021","White British","21"
"2021","White Other","15"
"2021","Other","28"
