"","All","","Other Ethnic Groups","","White",""
"Time","%","Number of people unemployed","%","Number of people unemployed","%","Number of people unemployed"
"2004","12","553,800","24","103,800","11","449,000"
"2005","13","591,300","23","100,800","12","489,800"
"2006","14","637,900","23","109,400","13","527,700"
"2007","14","638,900","24","109,300","13","529,000"
"2008","15","700,200","26","127,400","14","572,400"
"2009","19","862,000","29","135,500","18","725,100"
"2010","20","862,400","31","140,800","18","721,100"
"2011","21","960,200","-","-","-","-"
"2012","21","946,200","33","167,500","20","778,400"
"2013","20","894,200","35","182,300","18","711,500"
"2014","17","742,100","27","135,100","16","605,000"
"2015","14","629,600","24","126,000","13","503,700"
"2016","13","569,600","23","119,100","12","450,500"
"2017","12","515,200","20","104,400","11","410,100"
"2018","12","486,100","18","101,700","11","384,300"
"2019","11","468,300","19","103,500","10","364,800"
"2020","14","555,900","24","124,500","12","431,400"
"2021","13","490,000","22","123,900","11","366,000"
