"Ethnicity","Specific grade","%","Headcount"
"Asian","Graduate entry grades","",""
"Asian","Very Senior Manager","4.6","92"
"Asian","Band 9","3.9","61"
"Asian","Band 8d","3.5","140"
"Asian","Band 8c","4.6","382"
"Asian","Band 8b","5.7","937"
"Asian","Band 8a","6.8","2,910"
"Asian","Band 7","6.4","7,664"
"Asian","Band 6","7.4","15,106"
"Asian","Band 5","11.7","24,916"
"Asian","Non-graduate entry grades","",""
"Asian","Band 4","6.7","6,454"
"Asian","Band 3","6.4","9,409"
"Asian","Band 2","8.0","14,418"
"Asian","Band 1","9.5","3,049"
"Asian","Unspecified","",""
"Asian","Other grades","8.1","1,081"
"Black","Graduate entry grades","",""
"Black","Very Senior Manager","1.2","25"
"Black","Band 9","2.1","33"
"Black","Band 8d","2.3","91"
"Black","Band 8c","2.9","241"
"Black","Band 8b","3.2","529"
"Black","Band 8a","3.9","1,657"
"Black","Band 7","5.0","5,930"
"Black","Band 6","6.1","12,605"
"Black","Band 5","8.2","17,482"
"Black","Non-graduate entry grades","",""
"Black","Band 4","5.2","5,027"
"Black","Band 3","6.5","9,577"
"Black","Band 2","6.4","11,527"
"Black","Band 1","7.1","2,262"
"Black","Unspecified","",""
"Black","Other grades","5.0","673"
"Chinese","Graduate entry grades","",""
"Chinese","Very Senior Manager","0.2","4"
"Chinese","Band 9","0.3","5"
"Chinese","Band 8d","0.4","18"
"Chinese","Band 8c","0.4","32"
"Chinese","Band 8b","0.6","103"
"Chinese","Band 8a","0.7","313"
"Chinese","Band 7","0.6","660"
"Chinese","Band 6","0.4","913"
"Chinese","Band 5","0.4","835"
"Chinese","Non-graduate entry grades","",""
"Chinese","Band 4","0.3","246"
"Chinese","Band 3","0.2","274"
"Chinese","Band 2","0.2","318"
"Chinese","Band 1","0.2","67"
"Chinese","Unspecified","",""
"Chinese","Other grades","0.2","31"
"Mixed","Graduate entry grades","",""
"Mixed","Very Senior Manager","0.8","17"
"Mixed","Band 9","1.1","18"
"Mixed","Band 8d","1.1","45"
"Mixed","Band 8c","1.3","110"
"Mixed","Band 8b","1.3","205"
"Mixed","Band 8a","1.5","635"
"Mixed","Band 7","1.4","1,681"
"Mixed","Band 6","1.5","3,079"
"Mixed","Band 5","1.8","3,739"
"Mixed","Non-graduate entry grades","",""
"Mixed","Band 4","1.7","1,590"
"Mixed","Band 3","1.6","2,415"
"Mixed","Band 2","1.6","2,939"
"Mixed","Band 1","1.7","559"
"Mixed","Unspecified","",""
"Mixed","Other grades","1.8","235"
"White","Graduate entry grades","",""
"White","Very Senior Manager","92.9","1,869"
"White","Band 9","92.2","1,457"
"White","Band 8d","92.3","3,716"
"White","Band 8c","90.1","7,449"
"White","Band 8b","88.3","14,419"
"White","Band 8a","86.0","36,683"
"White","Band 7","85.1","101,603"
"White","Band 6","82.4","168,917"
"White","Band 5","74.2","158,228"
"White","Non-graduate entry grades","",""
"White","Band 4","85.0","81,757"
"White","Band 3","83.8","123,160"
"White","Band 2","81.7","147,028"
"White","Band 1","79.2","25,376"
"White","Unspecified","",""
"White","Other grades","83.3","11,144"
"Other","Graduate entry grades","",""
"Other","Very Senior Manager","0.2","5"
"Other","Band 9","0.4","7"
"Other","Band 8d","0.4","15"
"Other","Band 8c","0.7","58"
"Other","Band 8b","0.8","134"
"Other","Band 8a","1.0","445"
"Other","Band 7","1.6","1,865"
"Other","Band 6","2.2","4,440"
"Other","Band 5","3.7","7,912"
"Other","Non-graduate entry grades","",""
"Other","Band 4","1.1","1,070"
"Other","Band 3","1.4","2,050"
"Other","Band 2","2.0","3,647"
"Other","Band 1","2.2","714"
"Other","Unspecified","",""
"Other","Other grades","1.6","208"
"Unknown","Graduate entry grades","",""
"Unknown","Very Senior Manager","N/A","200"
"Unknown","Band 9","N/A","92"
"Unknown","Band 8d","N/A","191"
"Unknown","Band 8c","N/A","334"
"Unknown","Band 8b","N/A","586"
"Unknown","Band 8a","N/A","1,457"
"Unknown","Band 7","N/A","4,254"
"Unknown","Band 6","N/A","7,970"
"Unknown","Band 5","N/A","10,572"
"Unknown","Non-graduate entry grades","",""
"Unknown","Band 4","N/A","3,700"
"Unknown","Band 3","N/A","6,073"
"Unknown","Band 2","N/A","7,913"
"Unknown","Band 1","N/A","2,234"
"Unknown","Unspecified","",""
"Unknown","Other grades","N/A","2,345"
